geometry
"POLYGON ((-740282.8743478258 -1049545.9725000015, -738806.7356521736 -1049545.9725000015, -738806.7356521736 -1051088.2437500015, -740282.8743478258 -1051088.2437500015, -740282.8743478258 -1049545.9725000015))"
"POLYGON ((-738806.7356521736 -1049545.9725000015, -737330.5969565216 -1049545.9725000015, -737330.5969565216 -1051088.2437500015, -738806.7356521736 -1051088.2437500015, -738806.7356521736 -1049545.9725000015))"
"POLYGON ((-737330.5969565216 -1049545.9725000015, -735854.4582608695 -1049545.9725000015, -735854.4582608695 -1051088.2437500015, -737330.5969565216 -1051088.2437500015, -737330.5969565216 -1049545.9725000015))"
"POLYGON ((-735854.4582608695 -1049545.9725000015, -734378.3195652175 -1049545.9725000015, -734378.3195652175 -1051088.2437500015, -735854.4582608695 -1051088.2437500015, -735854.4582608695 -1049545.9725000015))"
"POLYGON ((-734378.3195652175 -1049545.9725000015, -732902.1808695653 -1049545.9725000015, -732902.1808695653 -1051088.2437500015, -734378.3195652175 -1051088.2437500015, -734378.3195652175 -1049545.9725000015))"
"POLYGON ((-732902.1808695653 -1049545.9725000015, -731426.0421739133 -1049545.9725000015, -731426.0421739133 -1051088.2437500015, -732902.1808695653 -1051088.2437500015, -732902.1808695653 -1049545.9725000015))"
"POLYGON ((-731426.0421739133 -1049545.9725000015, -729949.9034782612 -1049545.9725000015, -729949.9034782612 -1051088.2437500015, -731426.0421739133 -1051088.2437500015, -731426.0421739133 -1049545.9725000015))"
"POLYGON ((-729949.9034782612 -1049545.9725000015, -728473.7647826092 -1049545.9725000015, -728473.7647826092 -1051088.2437500015, -729949.9034782612 -1051088.2437500015, -729949.9034782612 -1049545.9725000015))"
"POLYGON ((-728473.7647826092 -1049545.9725000015, -726997.626086957 -1049545.9725000015, -726997.626086957 -1051088.2437500015, -728473.7647826092 -1051088.2437500015, -728473.7647826092 -1049545.9725000015))"
"POLYGON ((-726997.626086957 -1049545.9725000015, -725521.487391305 -1049545.9725000015, -725521.487391305 -1051088.2437500015, -726997.626086957 -1051088.2437500015, -726997.626086957 -1049545.9725000015))"
"POLYGON ((-753568.1226086944 -1048003.7012500016, -752091.9839130423 -1048003.7012500016, -752091.9839130423 -1049545.9725000015, -753568.1226086944 -1049545.9725000015, -753568.1226086944 -1048003.7012500016))"
