geometry
"POLYGON ((-727555.6196617642 -1052876.777052, -726556.5052294113 -1052876.777052, -726556.5052294113 -1053863.97376, -727555.6196617642 -1053863.97376, -727555.6196617642 -1052876.777052))"
"POLYGON ((-726556.5052294113 -1052876.777052, -725557.3907970584 -1052876.777052, -725557.3907970584 -1053863.97376, -726556.5052294113 -1053863.97376, -726556.5052294113 -1052876.777052))"
"POLYGON ((-752533.4804705888 -1051889.580344, -751534.3660382358 -1051889.580344, -751534.3660382358 -1052876.777052, -752533.4804705888 -1052876.777052, -752533.4804705888 -1051889.580344))"
"POLYGON ((-751534.3660382358 -1051889.580344, -750535.2516058828 -1051889.580344, -750535.2516058828 -1052876.777052, -751534.3660382358 -1052876.777052, -751534.3660382358 -1051889.580344))"
"POLYGON ((-750535.2516058828 -1051889.580344, -749536.1371735298 -1051889.580344, -749536.1371735298 -1052876.777052, -750535.2516058828 -1052876.777052, -750535.2516058828 -1051889.580344))"
"POLYGON ((-749536.1371735298 -1051889.580344, -748537.0227411769 -1051889.580344, -748537.0227411769 -1052876.777052, -749536.1371735298 -1052876.777052, -749536.1371735298 -1051889.580344))"
"POLYGON ((-748537.0227411769 -1051889.580344, -747537.9083088238 -1051889.580344, -747537.9083088238 -1052876.777052, -748537.0227411769 -1052876.777052, -748537.0227411769 -1051889.580344))"
"POLYGON ((-747537.9083088238 -1051889.580344, -746538.7938764709 -1051889.580344, -746538.7938764709 -1052876.777052, -747537.9083088238 -1052876.777052, -747537.9083088238 -1051889.580344))"
"POLYGON ((-746538.7938764709 -1051889.580344, -745539.6794441179 -1051889.580344, -745539.6794441179 -1052876.777052, -746538.7938764709 -1052876.777052, -746538.7938764709 -1051889.580344))"
"POLYGON ((-745539.6794441179 -1051889.580344, -744540.5650117649 -1051889.580344, -744540.5650117649 -1052876.777052, -745539.6794441179 -1052876.777052, -745539.6794441179 -1051889.580344))"
"POLYGON ((-744540.5650117649 -1051889.580344, -743541.4505794119 -1051889.580344, -743541.4505794119 -1052876.777052, -744540.5650117649 -1052876.777052, -744540.5650117649 -1051889.580344))"
"POLYGON ((-743541.4505794119 -1051889.580344, -742542.336147059 -1051889.580344, -742542.336147059 -1052876.777052, -743541.4505794119 -1052876.777052, -743541.4505794119 -1051889.580344))"
"POLYGON ((-742542.336147059 -1051889.580344, -741543.221714706 -1051889.580344, -741543.221714706 -1052876.777052, -742542.336147059 -1052876.777052, -742542.336147059 -1051889.580344))"
"POLYGON ((-741543.221714706 -1051889.580344, -740544.107282353 -1051889.580344, -740544.107282353 -1052876.777052, -741543.221714706 -1052876.777052, -741543.221714706 -1051889.580344))"
"POLYGON ((-740544.107282353 -1051889.580344, -739544.99285 -1051889.580344, -739544.99285 -1052876.777052, -740544.107282353 -1052876.777052, -740544.107282353 -1051889.580344))"
"POLYGON ((-739544.99285 -1051889.580344, -738545.8784176471 -1051889.580344, -738545.8784176471 -1052876.777052, -739544.99285 -1052876.777052, -739544.99285 -1051889.580344))"
"POLYGON ((-738545.8784176471 -1051889.580344, -737546.763985294 -1051889.580344, -737546.763985294 -1052876.777052, -738545.8784176471 -1052876.777052, -738545.8784176471 -1051889.580344))"
"POLYGON ((-737546.763985294 -1051889.580344, -736547.6495529411 -1051889.580344, -736547.6495529411 -1052876.777052, -737546.763985294 -1052876.777052, -737546.763985294 -1051889.580344))"
"POLYGON ((-736547.6495529411 -1051889.580344, -735548.5351205881 -1051889.580344, -735548.5351205881 -1052876.777052, -736547.6495529411 -1052876.777052, -736547.6495529411 -1051889.580344))"
"POLYGON ((-735548.5351205881 -1051889.580344, -734549.4206882352 -1051889.580344, -734549.4206882352 -1052876.777052, -735548.5351205881 -1052876.777052, -735548.5351205881 -1051889.580344))"
"POLYGON ((-734549.4206882352 -1051889.580344, -733550.3062558821 -1051889.580344, -733550.3062558821 -1052876.777052, -734549.4206882352 -1052876.777052, -734549.4206882352 -1051889.580344))"
"POLYGON ((-733550.3062558821 -1051889.580344, -732551.1918235292 -1051889.580344, -732551.1918235292 -1052876.777052, -733550.3062558821 -1052876.777052, -733550.3062558821 -1051889.580344))"
"POLYGON ((-732551.1918235292 -1051889.580344, -731552.0773911763 -1051889.580344, -731552.0773911763 -1052876.777052, -732551.1918235292 -1052876.777052, -732551.1918235292 -1051889.580344))"
